,Level,Slope,Curvature,Vol-of-Vol,SPX-Return,VIX-Return
2006-03-22,22.9942403979,-2.91244369656,0.29163466617,0.46175,-0.0493750071827,0.506227758007
2006-03-23,23.054791891,-2.81056618712,0.245454512872,0.4436875,-0.0370575242485,0.370535714286
2006-03-24,23.0303092199,-2.85662433021,0.184573723007,0.43995,-0.0443253363822,0.428571428571
2006-03-27,23.0617476635,-2.80766570556,0.202796213815,0.41311875,-0.0403702978433,0.363318777293
2006-03-28,23.2035656103,-2.92616194256,0.267927539202,0.44545,-0.0331908473724,0.328510638298
2006-03-29,23.6031499299,-2.93918747167,0.316950211914,0.4392,-0.0488924864006,0.500459136823
2006-03-30,23.7301644472,-2.84165944097,0.32510337609,0.43779375,-0.043225883284,0.404347826087
2006-03-31,23.6062563797,-2.77699052085,0.407373793669,0.431925,-0.0198134703839,0.144104803493
2006-04-03,23.7453471651,-2.87739742618,0.455173237265,0.42325625,-0.0146352539138,0.136759581882
2006-04-04,23.8286030712,-2.9000599418,0.428728173637,0.44614375,-0.0208226574988,0.176735798016
2006-04-05,23.8250895987,-2.82793958988,0.385666993095,0.44459375,-0.0236826050484,0.174617461746
2006-04-06,23.8741202922,-2.7072533563,0.331089036246,0.43376875,-0.0296557865089,0.236003445306
2006-04-07,23.5089037429,-2.80175743999,0.325377927142,0.43411875,-0.0161961607956,0.11620294599
2006-04-10,23.3318939602,-3.10014602921,0.264728235467,0.430775,-0.0224882467961,0.154597233523
2006-04-11,22.8011584619,-3.24856269984,0.312572017005,0.43129375,-0.0132751975708,0.0881901840491
2006-04-12,22.9796032457,-3.19437613404,0.27794367458,0.43536875,-0.0115225890108,0.0297572435395
2006-04-13,22.8221374329,-3.08566207443,0.338605318008,0.4582375,-0.0226316524871,0.18593371059
2006-04-17,22.6291376856,-3.20019496638,0.384275193329,0.4782875,-0.037745101855,0.439716312057
2006-04-18,23.216393318,-2.66770811576,0.514809082963,0.4764,-0.0553343675254,0.599824868651
2006-04-19,22.8505890223,-2.98780413898,0.0136809722029,0.4242,-0.0571166803459,0.59841129744
2006-04-20,23.1282170381,-3.01364448545,0.120429113627,0.454025,-0.0391864587702,0.294320137694
2006-04-21,22.8884126856,-3.07633062125,0.0580541967074,0.4693625,-0.0462571025436,0.384814495255
2006-04-24,22.811072144,-2.92871038578,0.0457316765031,0.48105,-0.0370889401414,0.277303754266
2006-04-25,22.9003521412,-2.86763383754,-0.107389166897,0.463275,-0.0309240713556,0.248540450375
2006-04-26,23.2295798264,-2.67600344375,-0.111164396339,0.474875,-0.0267515874779,0.246575342466
2006-04-27,23.3301394645,-2.65922743898,-0.0820023858317,0.48624375,-0.0301809712889,0.220625528318
2006-04-28,23.3757188925,-2.73553173093,-0.0238822213333,0.490625,-0.0351452331248,0.298126064736
2006-05-01,23.276088857,-2.74036845023,-0.0669081293629,0.50695625,-0.0200256887066,0.18680445151
2006-05-02,23.1249570349,-2.58359920433,-0.0241289927312,0.47785,-0.0269463585487,0.244166666667
2006-05-03,22.8514017799,-2.5606725185,0.0354573824766,0.479625,-0.0290410310082,0.267558528428
2006-05-04,23.0480301112,-2.64980728142,0.223776282015,0.5143375,-0.0256798101066,0.216148023549
2006-05-05,23.2356744586,-2.37140028628,0.211636409545,0.4543875,-0.0330964451687,0.237931034483
2006-05-08,23.02675672,-2.48789790046,0.231628118515,0.4878125,-0.0375017926287,0.289539748954
2006-05-09,23.2498717967,-2.55894486607,0.358429334552,0.47998125,-0.0376979036177,0.283097418818
2006-05-10,23.1729996252,-2.47490977367,0.218837673576,0.484625,-0.0387728854592,0.274834437086
2006-05-11,22.6508030123,-2.73101758425,0.184752597798,0.48530625,-0.0284867629132,0.18691588785
2006-05-12,22.0552530927,-2.99357619765,0.173293635011,0.5367375,-0.014957322856,0.0551124002901
2006-05-15,21.4363697131,-3.30573763393,-0.00937865485667,0.51491875,-0.0183188028929,0.0406976744186
2006-05-16,22.0688036661,-3.051397777,0.123630649128,0.4907,-0.0186909380669,0.0815709969789
2006-05-17,20.0399874569,-3.76161031381,0.159770537787,0.473825,0.0100649669277,-0.147382029735
2006-05-18,19.966053276,-4.15858176304,0.211789872538,0.4803625,0.0264708677882,-0.266182698125
2006-05-19,19.2077434859,-4.23845046599,0.303998297453,0.457175,0.0251197731321,-0.271377672209
2006-05-22,18.0216395056,-4.67582295654,0.236871584491,0.510808333333,0.0262282386224,-0.277122641509
2006-05-23,18.5724243536,-4.50304078547,0.234084834054,0.489516666667,0.029498735542,-0.254711246201
2006-05-24,16.7934943868,-4.87378357859,0.179072987506,0.540695833333,0.0300397199781,-0.30799773114
2006-05-25,18.080078995,-4.25121764746,0.368626886639,0.514145833333,0.0166871271857,-0.188182402055
2006-05-26,18.4523450791,-3.6656618974,0.354272903432,0.524470833333,0.0112299903587,-0.141160027952
2006-05-30,16.5138276358,-4.07004063783,0.390039320812,0.529420833333,0.0320217548144,-0.332236842105
2006-05-31,16.0994906567,-3.71339545417,0.452880777736,0.5275875,0.0282072712077,-0.272133095663
2006-06-01,17.3057261141,-3.32959355814,0.49198896074,0.521466666667,0.0170340954704,-0.162534435262
2006-06-02,17.6540675646,-2.99366837433,0.502875420341,0.525179166667,0.0132445962203,-0.143960674157
2006-06-05,16.4410482309,-3.32016758043,0.412716499634,0.534670833333,0.0338393920982,-0.290456431535
2006-06-06,15.6768220538,-3.80694311737,0.336541157428,0.532354166667,0.0401271842469,-0.288164665523
2006-06-07,15.4468152486,-4.07566672828,0.431298338387,0.532633333333,0.0422112187651,-0.277842227378
2006-06-08,14.2981546711,-4.01045621317,0.345075572309,0.577769230769,0.0329328116621,-0.229224762967
2006-06-09,14.0049200258,-4.34322656848,0.433601653453,0.533725,0.0300570259741,-0.209960384833
2006-06-12,12.30746667,-4.19499502858,0.38915697492,0.540508333333,0.0493021489126,-0.368269230769
2006-06-13,9.3321414872,-4.95626101576,0.0486311865419,0.599241666667,0.0551047689476,-0.418584070796
2006-06-14,6.25235372727,-5.00892118483,0.25308895613,0.61305,0.0704500340348,-0.459827507944
2006-06-15,15.093278051,-3.36748781812,0.544173594864,0.6991375,0.0472566491318,-0.277636594663
2006-06-16,14.0819282449,-3.61755234306,0.359279575287,0.691525,0.0508909001625,-0.316843345112
2006-06-19,13.8585489863,-3.56795358818,0.461184717353,0.678204166667,0.0646391204114,-0.327664399093
2006-06-20,14.1783033292,-3.64169154853,0.621602840906,0.6648,0.0644760914593,-0.299468399291
2006-06-21,16.4726787499,-3.49228504555,0.799488029625,0.56490625,0.0515960714542,-0.211074918567
2006-06-22,16.1936423329,-3.52843295573,0.523444296498,0.56370625,0.0644591469681,-0.283125
2006-06-23,16.3737184798,-3.44667067222,0.360908524464,0.56453125,0.0561128111752,-0.205193160228
2006-06-26,16.7376457197,-3.6615847024,0.371756320988,0.56589375,0.0623387016105,-0.230621396541
2006-06-27,16.1070389865,-3.69215475859,0.425520750162,0.5717625,0.0708912632246,-0.264993880049
